,id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,clean_text,topic_id
3000,788417074699927552,https://twitter.com/TammyDuckworth/status/788417074699927552,Tue Oct 18 16:30:53 +0000 2016,2016-10-18T16:30:53+00:00,TammyDuckworth,"Glad to be doing higher education roundtabletoday in Chi town today  w/1 of my heroines, @RepDuckworth Morning Spin https://t.co/cZJAYAHmbc",retweet,,,,,11,,,,en,,,2,7.883631754314054e+17,rweingarten,245424983.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Glad to be doing higher education roundtabletoday in Chi town today  w of my heroines RepDuckworth Morning Spin ,494
3016,787682632834379776,https://twitter.com/TammyDuckworth/status/787682632834379776,Sun Oct 16 15:52:28 +0000 2016,2016-10-16T15:52:28+00:00,TammyDuckworth,"""For every child you help get Pell grants is another brick in the foundation of this nation."" Rep @TammyforIL #shIFTintoAction https://t.co/lKJJ0Hea7z",retweet,,shIFTintoAction,,,50,,,,en,,,19,7.87674484836864e+17,iftaft,69318405.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,For every child you help get Pell grants is another brick in the foundation of this nation Rep TammyforIL shIFTintoAction ,1081
3034,786243482423664641,https://twitter.com/TammyDuckworth/status/786243482423664641,Wed Oct 12 16:33:48 +0000 2016,2016-10-12T16:33:48+00:00,TammyDuckworth,Talking today with students at @thisisuic about my plans to reduce student loan debt and make college more affordable #ILSEN https://t.co/ImQb366DKX,original,,ILSEN,https://pbs.twimg.com/media/CulMJIPWYAAfTNM.jpg,,75,,,,en,,0.0,34,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Talking today with students at thisisuic about my plans to reduce student loan debt and make college more affordable ILSEN ,118
3285,758787201094316032,https://twitter.com/TammyDuckworth/status/758787201094316032,Thu Jul 28 22:12:20 +0000 2016,2016-07-28T22:12:20+00:00,TammyDuckworth,"Thanks to Pell Grants, work study, affordable student loans &amp; lots of waitressing, I fulfilled my dream of college #DemsInPhilly",original,,DemsInPhilly,,,53,,,,en,,,24,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Thanks to Pell Grants work study affordable student loans amp lots of waitressing I fulfilled my dream of college DemsInPhilly,1081
3543,728600326090063876,https://twitter.com/TammyDuckworth/status/728600326090063876,Fri May 06 15:00:29 +0000 2016,2016-05-06T15:00:29+00:00,TammyDuckworth,I recently introduced the #InTheRed Act to make college more affordable &amp; help students get out of debt: https://t.co/5w0HF9advY,original,,InTheRed,https://pbs.twimg.com/media/ChuCUg2U4AEWa9D.jpg,,28,,,,en,,0.0,22,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,I recently introduced the InTheRed Act to make college more affordable amp help students get out of debt ,494
3560,726485386004942849,https://twitter.com/TammyDuckworth/status/726485386004942849,Sat Apr 30 18:56:28 +0000 2016,2016-04-30T18:56:28+00:00,TammyDuckworth,"At @SEEeiu #FUNdFest, talking about the importance of public higher education: https://t.co/3xGrFnFQh6",original,,FUNdFest,https://pbs.twimg.com/media/ChT-lLpXEAAVYvB.jpg,,15,,,,en,,0.0,8,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,At SEEeiu FUNdFest talking about the importance of public higher education ,494
3595,723889266275700736,https://twitter.com/TammyDuckworth/status/723889266275700736,Sat Apr 23 15:00:24 +0000 2016,2016-04-23T15:00:24+00:00,TammyDuckworth,These @SIUE students were rallying yesterday to save higher ed funding in IL We need to keep investing in our kids! https://t.co/F0xhQ6hl1u,original,,,https://pbs.twimg.com/media/Cgq7tydUgAE1lFB.jpg,,32,,,,en,,0.0,15,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,These SIUE students were rallying yesterday to save higher ed funding in IL We need to keep investing in our kids ,494
3610,722449222256193537,https://twitter.com/TammyDuckworth/status/722449222256193537,Tue Apr 19 15:38:11 +0000 2016,2016-04-19T15:38:11+00:00,TammyDuckworth,Kirk voted to gut Pell Grants and against lowering student loan interest rates #ILSEN #SenatorXerox,original,,ILSEN SenatorXerox,,,9,,,,en,,,20,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Kirk voted to gut Pell Grants and against lowering student loan interest rates ILSEN SenatorXerox,1081
3787,707618814972846080,https://twitter.com/TammyDuckworth/status/707618814972846080,Wed Mar 09 17:27:27 +0000 2016,2016-03-09T17:27:27+00:00,TammyDuckworth,".@NRSC, @MarkKirk - I launched the GI Loan for Heroes program to help Veterans become homeowners #TammyStands4Vets https://t.co/vrzubDGdtY",original,,TammyStands4Vets,,http://www.pantagraph.com/news/new-loan-programs-help-veterans-active-gi-s-buy-homes/article_5491dff0-a902-54cd-ae55-9904c8b3f100.html,21,,,,en,,0.0,9,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,NRSC MarkKirk  I launched the GI Loan for Heroes program to help Veterans become homeowners TammyStandsVets ,575
3919,695698675364810753,https://twitter.com/TammyDuckworth/status/695698675364810753,Fri Feb 05 20:01:04 +0000 2016,2016-02-05T20:01:04+00:00,TammyDuckworth,Join me in working to make college more affordable. Tell Congress to pass the Working Students Act. https://t.co/fDUMN7qCID,original,,,,http://action.tammyduckworth.com/page/s/working-students?source=tw160205,3,,,,en,,0.0,3,,,,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Join me in working to make college more affordable Tell Congress to pass the Working Students Act ,494
3938,692475294960197632,https://twitter.com/TammyDuckworth/status/692475294960197632,Wed Jan 27 22:32:30 +0000 2016,2016-01-27T22:32:30+00:00,TammyDuckworth,Rauner &amp; Kirk believe public universities &amp; helping working &amp; middle-class people afford college are giveaways. But they're an investment.,original,,,,,10,,,,en,,,7,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Rauner amp Kirk believe public universities amp helping working amp middleclass people afford college are giveaways But theyre an investment,533
3940,692474915300179968,https://twitter.com/TammyDuckworth/status/692474915300179968,Wed Jan 27 22:31:00 +0000 2016,2016-01-27T22:31:00+00:00,TammyDuckworth,"In Congress, I helped introduce the Student Loan Relief Act of 2013, &amp; as a senator I will make access to higher education a key priority.",original,,,,,7,,,,en,,,2,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,In Congress I helped introduce the Student Loan Relief Act of  amp as a senator I will make access to higher education a key priority,118
3941,692474736857710593,https://twitter.com/TammyDuckworth/status/692474736857710593,Wed Jan 27 22:30:17 +0000 2016,2016-01-27T22:30:17+00:00,TammyDuckworth,"Mark Kirk opposes student loan relief, free community college &amp; Pell Grants. The Kirk/Rauner agenda is anti-affordable higher ed.",original,,,,,10,,,,en,,,4,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Mark Kirk opposes student loan relief free community college amp Pell Grants The KirkRauner agenda is antiaffordable higher ed,1081
3942,692474631236816896,https://twitter.com/TammyDuckworth/status/692474631236816896,Wed Jan 27 22:29:52 +0000 2016,2016-01-27T22:29:52+00:00,TammyDuckworth,Other colleges are taking emergency measures. Layoff notices may be coming @EIU &amp; @WesternILUniv. #MAPGrants recipients are worried.,original,,MAPGrants,,,1,,,,en,,,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Other colleges are taking emergency measures Layoff notices may be coming EIU amp WesternILUniv MAPGrants recipients are worried,533
4038,677941497765883904,https://twitter.com/TammyDuckworth/status/677941497765883904,Fri Dec 18 20:00:23 +0000 2015,2015-12-18T20:00:23+00:00,TammyDuckworth,"For too many students, higher education is out of reach. Take action now: https://t.co/BlPe1Ha5vD",original,,,,http://action.tammyduckworth.com/page/s/cte-opportunity-act?source=tw151218_cte,1,,,,en,,0.0,0,,,,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,For too many students higher education is out of reach Take action now ,494
4556,557728241843449856,https://twitter.com/TammyDuckworth/status/557728241843449856,Wed Jan 21 02:35:49 +0000 2015,2015-01-21T02:35:49+00:00,TammyDuckworth,My dad used the GI Bill. I used my post 9/11 GIBill 4 my PhD. Access to higher ed like Community Colleges helps families &amp; our nation #SOTU,original,,SOTU,,,47,,,,en,,,46,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,My dad used the GI Bill I used my post  GIBill  my PhD Access to higher ed like Community Colleges helps families amp our nation SOTU,533
4605,501432878421770240,https://twitter.com/TammyDuckworth/status/501432878421770240,Mon Aug 18 18:18:09 +0000 2014,2014-08-18T18:18:09+00:00,TammyDuckworth,"We need to expand early childhood education, increase Pell Grants &amp; lower student loan rates to make quality education more affordable.",original,,,,,8,,,,en,,,8,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,We need to expand early childhood education increase Pell Grants amp lower student loan rates to make quality education more affordable,1081
4625,491655453932535808,https://twitter.com/TammyDuckworth/status/491655453932535808,Tue Jul 22 18:46:09 +0000 2014,2014-07-22T18:46:09+00:00,TammyDuckworth,Pell Grants helped me get through college. It's also time to increase access to Pell Grants &amp; lower student loan rates.,original,,,,,7,,,,en,,,7,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",328679423,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114,87987,3234,1209,Illinois,Tammy Duckworth,4651,,http://tammyduckworth.com/,True,Pell Grants helped me get through college Its also time to increase access to Pell Grants amp lower student loan rates,1081
4703,1582114053379739650,https://twitter.com/SenDuckworth/status/1582114053379739650,Mon Oct 17 20:59:19 +0000 2022,2022-10-17T20:59:19+00:00,SenDuckworth,🚨Attention student loan borrowers: the @usedgov website for debt relief applications is LIVE!  For more information and to submit your application visit ➡️ https://t.co/ARWsWohWBO.,original,,,,http://studentaid.gov/debt-relief/application,129,,,,en,,0.0,51,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1058520120,Thu Jan 03 18:59:33 +0000 2013,False,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",964,770672,7393,4102,,Tammy Duckworth,10960,,http://duckworth.senate.gov,True, policecarlight Attention student loan borrowers the usedgov website for debt relief applications is LIVE  For more information and to submit your application visit  rightarrow  ,575
4704,1582087708142317569,https://twitter.com/SenDuckworth/status/1582087708142317569,Mon Oct 17 19:14:38 +0000 2022,2022-10-17T19:14:38+00:00,SenDuckworth,The U.S. Education Department has begun accepting applications for President Joe Biden’s student debt cancellation through a beta launch of a new online form.  The plan makes 43 million Americans eligible for at least some debt forgiveness. https://t.co/Je228ojtnX,retweet,,,,,298,,,,en,,,129,1.5820634111727124e+18,AP,51241574.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1058520120,Thu Jan 03 18:59:33 +0000 2013,False,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",964,770672,7393,4102,,Tammy Duckworth,10960,,http://duckworth.senate.gov,True,The US Education Department has begun accepting applications for President Joe Bidens student debt cancellation through a beta launch of a new online form  The plan makes  million Americans eligible for at least some debt forgiveness ,575
4735,1577740879066025984,https://twitter.com/SenDuckworth/status/1577740879066025984,Wed Oct 05 19:21:53 +0000 2022,2022-10-05T19:21:53+00:00,SenDuckworth,"🚨Spread the word: Public school teachers, frontline workers, Veterans and other public servants may be eligible to have their federal student loan debt forgiven thanks to the Biden Admin’s temporary changes to the PSLF program.   Apply by Oct 31! Visit https://t.co/jN4JxBrcRb.",original,,,,http://PSLF.gov,103,,,,en,,0.0,51,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1058520120,Thu Jan 03 18:59:33 +0000 2013,False,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",964,770672,7393,4102,,Tammy Duckworth,10960,,http://duckworth.senate.gov,True, policecarlight Spread the word Public school teachers frontline workers Veterans and other public servants may be eligible to have their federal student loan debt forgiven thanks to the Biden Admins temporary changes to the PSLF program   Apply by Oct  Visit ,575
4828,1562526921170112514,https://twitter.com/SenDuckworth/status/1562526921170112514,Wed Aug 24 19:47:03 +0000 2022,2022-08-24T19:47:03+00:00,SenDuckworth,"Thank you, @POTUS! This is welcome relief for millions of borrowers across the nation who are dealing with unreasonable amounts of student debt. I’m glad the administration heeded our request to get this done. https://t.co/NduHl70CZe",quote,,,,https://twitter.com/POTUS/status/1562462774969581570,466,,,,en,,0.0,66,1.5624627749695816e+18,POTUS,1.3491490969096684e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1058520120,Thu Jan 03 18:59:33 +0000 2013,False,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",964,770672,7393,4102,,Tammy Duckworth,10960,,http://duckworth.senate.gov,True,Thank you POTUS This is welcome relief for millions of borrowers across the nation who are dealing with unreasonable amounts of student debt Im glad the administration heeded our request to get this done ,118
5653,1473730239163514896,https://twitter.com/SenDuckworth/status/1473730239163514896,Wed Dec 22 19:00:44 +0000 2021,2021-12-22T19:00:44+00:00,SenDuckworth,"Extending the pause on student loan repayments is the right thing to do and will help millions stay afloat as we continue to recover from this pandemic.  Next, let's work to cancel up to $50K of student debt to ease this burden even further and boost our economy. https://t.co/G8ey1Ac93c",quote,,,,https://twitter.com/POTUS/status/1473706456390291465,547,,,,en,,0.0,70,1.4737064563902915e+18,POTUS,1.3491490969096684e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1058520120,Thu Jan 03 18:59:33 +0000 2013,False,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",964,770672,7393,4102,,Tammy Duckworth,10960,,http://duckworth.senate.gov,True,Extending the pause on student loan repayments is the right thing to do and will help millions stay afloat as we continue to recover from this pandemic  Next lets work to cancel up to K of student debt to ease this burden even further and boost our economy ,118
